19,4,6,0.9
19,4,7,27.85
19,4,8,135.25
19,4,9,352.65
19,4,10,351.6
19,4,11,696.25
19,4,12,774.75
19,4,13,904.2
19,4,14,896.65
19,4,15,818.45
19,4,16,753.65
19,4,17,587.75
19,4,18,376.3
19,4,19,157.35
19,4,20,40.6
19,4,21,0.1
19,4,22,0.0
19,4,23,0.0
19,5,6,0.0
19,5,7,13.75
19,5,8,52.7
19,5,9,126.1
19,5,10,427.2
19,5,11,466.6
19,5,12,600.5
19,5,13,911.2
19,5,14,888.35
19,5,15,835.45
19,5,16,728.5
19,5,17,511.7
19,5,18,382.25
19,5,19,188.85
19,5,20,34.75
19,5,21,0.3
19,5,22,0.0
19,5,23,0.0
19,6,6,1.2
19,6,7,23.3
19,6,8,140.95
19,6,9,338.2
19,6,10,358.4
19,6,11,723.25
19,6,12,868.55
19,6,13,886.15
19,6,14,895.75
19,6,15,846.9
19,6,16,763.4
19,6,17,465.4
19,6,18,335.1
19,6,19,183.0
19,6,20,42.9
19,6,21,1.0
19,6,22,0.0
19,6,23,0.0
19,7,6,0.0
19,7,7,40.5
19,7,8,46.5
19,7,9,62.3
19,7,10,77.85
19,7,11,174.7
19,7,12,71.2
19,7,13,403.8
19,7,14,559.2
19,7,15,162.25
19,7,16,812.5
19,7,17,691.3
19,7,18,64.7
19,7,19,122.45
19,7,20,37.35
19,7,21,2.25
19,7,22,0.0
19,7,23,0.0
20,1,6,1.25
20,1,7,16.9
20,1,8,139.85
20,1,9,408.65
20,1,10,357.6
20,1,11,753.3
20,1,12,863.85
20,1,13,918.65
20,1,14,613.6
20,1,15,882.05
20,1,16,828.9
20,1,17,611.35
20,1,18,423.9
20,1,19,250.45
20,1,20,64.6
20,1,21,0.8
20,1,22,0.0
20,1,23,0.0
20,2,6,1.65
20,2,7,19.5
20,2,8,140.6
20,2,9,400.25
20,2,10,374.15
20,2,11,726.3
20,2,12,692.15
20,2,13,594.6
20,2,14,762.3
20,2,15,863.9
20,2,16,760.75
20,2,17,603.95
20,2,18,405.75
20,2,19,207.4
20,2,20,38.9
20,2,21,1.1
20,2,22,0.0
20,2,23,0.0
20,3,6,2.45
20,3,7,22.4
20,3,8,148.05
20,3,9,386.5
20,3,10,355.85
20,3,11,628.7
20,3,12,793.8
20,3,13,984.5
20,3,14,286.95
20,3,15,609.1
20,3,16,798.05
20,3,17,400.85
20,3,18,425.6
20,3,19,215.8
20,3,20,42.2
20,3,21,1.8
20,3,22,0.0
20,3,23,0.0
20,4,6,2.4
20,4,7,27.35
20,4,8,142.4
20,4,9,384.0
20,4,10,330.35
20,4,11,759.4
20,4,12,814.25
20,4,13,888.2
20,4,14,874.95
20,4,15,770.3
20,4,16,612.05
20,4,17,528.1
20,4,18,340.75
20,4,19,199.25
20,4,20,50.1
20,4,21,3.55
20,4,22,0.0
20,4,23,0.0
20,5,6,0.0
20,5,7,7.75
20,5,8,33.8
20,5,9,182.0
20,5,10,327.8
20,5,11,773.05
20,5,12,884.4
20,5,13,889.5
20,5,14,882.35
20,5,15,885.65
20,5,16,769.7
20,5,17,580.8
20,5,18,406.55
20,5,19,210.0
20,5,20,46.5
20,5,21,2.75
20,5,22,0.0
20,5,23,0.0
20,6,6,2.45
20,6,7,35.65
20,6,8,136.3
20,6,9,321.55
20,6,10,330.25
20,6,11,678.4
20,6,12,806.05
20,6,13,871.5
20,6,14,600.3
20,6,15,836.45
20,6,16,721.7
20,6,17,565.8
20,6,18,332.35
20,6,19,200.55
20,6,20,45.05
20,6,21,2.9
20,6,22,0.0
20,6,23,0.0
20,7,6,2.85
20,7,7,26.15
20,7,8,143.4
20,7,9,389.9
20,7,10,308.75
20,7,11,724.6
20,7,12,835.0
20,7,13,897.95
20,7,14,899.45
20,7,15,844.45
20,7,16,743.85
20,7,17,589.8
20,7,18,398.7
20,7,19,208.3
20,7,20,60.75
20,7,21,1.45
20,7,22,0.0
20,7,23,0.0
21,1,6,3.2
21,1,7,33.0
21,1,8,141.65
21,1,9,380.5
21,1,10,317.5
21,1,11,691.95
21,1,12,814.2
21,1,13,549.15
21,1,14,933.5
21,1,15,519.1
21,1,16,779.7
21,1,17,257.5
21,1,18,398.05
21,1,19,196.8
21,1,20,52.15
21,1,21,3.55
21,1,22,0.0
21,1,23,0.0
21,2,6,2.25
21,2,7,28.25
21,2,8,94.75
21,2,9,161.0
21,2,10,318.4
21,2,11,713.2
21,2,12,811.4
21,2,13,862.8
21,2,14,890.95
21,2,15,850.3
21,2,16,753.2
21,2,17,586.7
21,2,18,396.3
21,2,19,212.15
21,2,20,50.8
21,2,21,2.85
21,2,22,0.0
21,2,23,0.0
21,3,6,2.55
21,3,7,23.3
21,3,8,158.1
21,3,9,412.8
21,3,10,326.05
21,3,11,730.55
21,3,12,368.45
21,3,13,590.25
21,3,14,965.9
21,3,15,858.15
21,3,16,738.4
21,3,17,584.9
21,3,18,397.35
21,3,19,210.7
21,3,20,55.45
21,3,21,3.25
21,3,22,0.0
21,3,23,0.0
21,4,6,3.25
21,4,7,25.05
21,4,8,146.65
21,4,9,396.1
21,4,10,302.1
21,4,11,666.4
21,4,12,726.0
21,4,13,897.2
21,4,14,889.0
21,4,15,832.1
21,4,16,737.6
21,4,17,596.6
21,4,18,415.25
21,4,19,224.05
21,4,20,55.85
21,4,21,3.3
21,4,22,0.0
21,4,23,0.0
21,5,6,4.0
21,5,7,32.45
21,5,8,147.9
21,5,9,382.25
21,5,10,315.0
21,5,11,533.45
21,5,12,495.6
21,5,13,360.4
21,5,14,803.1
21,5,15,556.15
21,5,16,163.3
21,5,17,156.6
21,5,18,85.55
21,5,19,36.1
21,5,20,35.15
21,5,21,1.2
21,5,22,0.0
21,5,23,0.0
21,6,6,2.9
21,6,7,25.1
21,6,8,146.15
21,6,9,217.05
21,6,10,305.3
21,6,11,725.35
21,6,12,871.5
21,6,13,923.8
21,6,14,927.7
21,6,15,876.6
21,6,16,775.2
21,6,17,626.8
21,6,18,439.15
21,6,19,238.4
21,6,20,57.1
21,6,21,3.7
21,6,22,0.0
21,6,23,0.0
21,7,6,3.55
21,7,7,21.85
21,7,8,149.1
21,7,9,413.0
21,7,10,307.9
21,7,11,745.8
21,7,12,851.5
21,7,13,893.7
21,7,14,908.7
21,7,15,859.05
21,7,16,744.6
21,7,17,606.7
21,7,18,416.3
21,7,19,235.45
21,7,20,67.85
21,7,21,5.85
21,7,22,0.0
21,7,23,0.0
22,1,6,3.9
22,1,7,23.9
22,1,8,149.35
22,1,9,404.25
22,1,10,332.35
22,1,11,712.4
22,1,12,827.35
22,1,13,882.95
22,1,14,891.6
22,1,15,853.4
22,1,16,735.0
22,1,17,461.1
22,1,18,424.35
22,1,19,233.8
22,1,20,56.2
22,1,21,4.55
22,1,22,0.0
22,1,23,0.0
22,2,6,3.95
22,2,7,43.3
22,2,8,152.05
22,2,9,407.25
22,2,10,366.3
22,2,11,759.15
22,2,12,675.1
22,2,13,549.2
22,2,14,700.9
22,2,15,551.3
22,2,16,762.3
22,2,17,592.5
22,2,18,267.7
22,2,19,132.15
22,2,20,31.45
22,2,21,0.0
22,2,22,0.0
22,2,23,0.0
22,3,6,3.0
22,3,7,3.45
22,3,8,65.95
22,3,9,199.1
22,3,10,174.35
22,3,11,408.95
22,3,12,400.7
22,3,13,296.3
22,3,14,454.25
22,3,15,363.2
22,3,16,245.95
22,3,17,261.65
22,3,18,207.15
22,3,19,85.15
22,3,20,46.45
22,3,21,5.15
22,3,22,0.0
22,3,23,0.0
22,4,6,4.4
22,4,7,53.4
22,4,8,194.6
22,4,9,404.65
22,4,10,372.25
22,4,11,491.05
22,4,12,497.4
22,4,13,528.55
22,4,14,643.3
22,4,15,584.5
22,4,16,238.1
22,4,17,194.55
22,4,18,106.8
22,4,19,43.0
22,4,20,20.4
22,4,21,4.55
22,4,22,0.0
22,4,23,0.0
22,5,6,8.35
22,5,7,41.85
22,5,8,157.1
22,5,9,391.45
22,5,10,388.15
22,5,11,587.7
22,5,12,814.5
22,5,13,653.1
22,5,14,777.65
22,5,15,218.9
22,5,16,83.85
22,5,17,184.4
22,5,18,185.3
22,5,19,76.95
22,5,20,19.1
22,5,21,3.15
22,5,22,0.0
22,5,23,0.0
22,6,6,3.85
22,6,7,27.5
22,6,8,149.1
22,6,9,395.95
22,6,10,390.55
22,6,11,697.4
22,6,12,506.25
22,6,13,919.3
22,6,14,941.05
22,6,15,599.95
22,6,16,167.05
22,6,17,104.3
22,6,18,163.65
22,6,19,129.3
22,6,20,31.9
22,6,21,3.95
22,6,22,0.0
22,6,23,0.0
22,7,6,5.45
22,7,7,44.05
22,7,8,168.9
22,7,9,384.2
22,7,10,406.15
22,7,11,495.65
22,7,12,657.7
22,7,13,878.1
22,7,14,929.2
22,7,15,511.0
22,7,16,84.0
22,7,17,67.05
22,7,18,109.0
22,7,19,35.6
22,7,20,23.5
22,7,21,4.65
22,7,22,0.0
22,7,23,0.0
23,1,6,1.6
23,1,7,10.35
23,1,8,58.9
23,1,9,148.4
23,1,10,373.6
23,1,11,634.75
23,1,12,580.25
23,1,13,381.9
23,1,14,902.9
23,1,15,655.1
23,1,16,287.4
23,1,17,513.05
23,1,18,385.6
23,1,19,178.2
23,1,20,79.2
23,1,21,8.8
23,1,22,0.0
23,1,23,0.0
23,2,6,0.0
23,2,7,7.2
23,2,8,16.15
23,2,9,58.7
23,2,10,75.0
23,2,11,61.3
23,2,12,142.1
23,2,13,389.05
23,2,14,879.8
23,2,15,174.95
23,2,16,220.45
23,2,17,276.8
23,2,18,154.75
23,2,19,139.8
23,2,20,36.65
23,2,21,2.65
23,2,22,0.0
23,2,23,0.0
23,3,6,2.85
23,3,7,43.25
23,3,8,84.65
23,3,9,131.5
23,3,10,195.3
23,3,11,213.5
23,3,12,420.5
23,3,13,304.1
23,3,14,253.85
23,3,15,752.25
23,3,16,290.35
23,3,17,380.1
23,3,18,431.0
23,3,19,283.0
23,3,20,58.45
23,3,21,2.8
23,3,22,0.0
23,3,23,0.0
23,4,6,2.95
23,4,7,33.8
23,4,8,77.9
23,4,9,384.6
23,4,10,386.95
23,4,11,524.0
23,4,12,947.65
23,4,13,806.4
23,4,14,1000.0
23,4,15,957.45
23,4,16,543.25
23,4,17,624.7
23,4,18,119.15
23,4,19,155.45
23,4,20,68.7
23,4,21,4.95
23,4,22,0.0
23,4,23,0.0
23,5,6,3.95
23,5,7,29.8
23,5,8,185.35
23,5,9,123.6
23,5,10,140.5
23,5,11,375.85
23,5,12,756.65
23,5,13,974.5
23,5,14,978.5
23,5,15,889.2
23,5,16,630.9
23,5,17,407.9
23,5,18,291.7
23,5,19,142.65
23,5,20,79.55
23,5,21,8.7
23,5,22,0.0
23,5,23,0.0
23,6,6,6.5
23,6,7,51.0
23,6,8,98.0
23,6,9,204.4
23,6,10,496.2
23,6,11,576.25
23,6,12,880.8
23,6,13,687.05
23,6,14,676.85
23,6,15,711.15
23,6,16,557.95
23,6,17,258.0
23,6,18,138.0
23,6,19,98.95
23,6,20,61.35
23,6,21,4.55
23,6,22,0.0
23,6,23,0.0
23,7,6,2.4
23,7,7,41.1
23,7,8,113.6
23,7,9,264.65
23,7,10,442.15
23,7,11,483.15
23,7,12,511.3
23,7,13,475.4
23,7,14,686.05
23,7,15,628.15
23,7,16,644.45
23,7,17,647.05
23,7,18,398.3
23,7,19,225.1
23,7,20,71.0
23,7,21,7.6
23,7,22,0.0
23,7,23,0.0
